v1,v2
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore discount, wif u?"
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word on the mobile. I was wondering if you still want the $500 cash prize?"
ham,"Even my brother is not like the one who wants to go to school. I am going to tell him."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days/wk, total cost £4.50"
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest camera phone for FREE! Call The Mobile Update Co FREE on 0800..."
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"WARNING! Your account has been suspended due to unusual activity. Click on the following link immediately to restore: http://spamlink.com"
ham,"Aight, that's fine. I'll meet you at the bus stop."
